Country,Gold Medal,Silver Medal,Bronze Medal,Total,Rank By Total,GDP,Population,Gdp per capita gdp/pop
Zambia,0,0,0,0,94,0.0221476495686121,19473132.0,1.13734398599116E-09
South Sudan,0,0,0,0,94,0.011997800760224200,10748278.0,1.11625329752582E-09
Tanzania,0,0,0,0,94,0.0706556281405826,63588332.0,1.11114139840282E-09
Lesotho,0,0,0,0,94,0.00237341626851107,2281464.0,1.04030406287852E-09
Togo,0,0,0,0,94,0.00833404748551396,8644829.0,9.64050010186894E-10
Tajikistan,0,0,0,0,94,0.00893780534713963,9750078.0,9.16690650796807E-10
Mali,0,0,0,0,94,0.0193094635059833,21904990.0,8.8150980694277E-10
Rwanda,0,0,0,0,94,0.0110552819710454,13461891.0,8.2122801106066E-10
Guinea-Bissau,0,0,0,0,94,0.00163851760688578,2060730.0,7.95115132446162E-10
Gambia,0,0,0,0,94,0.00203841497357173,2639922.0,7.72149697442474E-10
Sudan,0,0,0,0,94,0.0342295137749936,45657204.0,7.49706744525872E-10
Chad,0,0,0,0,94,0.0117799813321599,17179744.0,6.85690155345732E-10
Liberia,0,0,0,0,94,0.003509,5193422.0,6.757E-10
Yemen,0,0,0,0,94,0.021606161066207400,32981644.0,6.55096546012303E-10
Malawi,0,0,0,0,94,0.0126023341237637,19889742.0,6.33609733286822E-10
Niger,0,0,0,0,94,0.0149150020984975,25252722.0,5.90629481388086E-10
Democratic Republic of Congo,0,0,0,0,94,0.0553509685930597,95894120.0,5.77209203161359E-10
Eritrea,0,0,0,0,94,0.00206500162601626,3620324.0,5.70391386521278E-10
Sierra Leone,0,0,0,0,94,0.00424923457398708,8420642.0,5.04621212252828E-10
Madagascar,0,0,0,0,94,0.014554754115211200,28915652.0,5.0335209855241E-10
Mozambique,0,0,0,0,94,0.0157767574195197,32077074.0,4.91839044281897E-10
Central African Republic,0,0,0,0,94,0.00251649841231361,5457165.0,4.61136581414271E-10
Somalia,0,0,0,0,94,0.00762800001146357,17065588.0,4.46981376291492E-10
Afghanistan,0,0,0,0,94,0.0145831352365744,40099460.0,3.63674105251652E-10
Burundi,0,0,0,0,94,0.00277579869716485,12551215.0,2.2115776816546E-10
